Mark Evans,Mark,GK,Male,Medium,Earth,37,41,13,16,15,17,8,16,20,191,99,184,59,72,99,72,69,70,99,77,69,68,99,69,99,79,99,35,507,542,God Hand(E),1,Majin The Hand(E),1,Fist of Justice,Event,The Earth,Event,0x01
Nathan Swift,Nathan,DF,Male,Medium,Air,64,74,13,12,12,11,18,12,11,169,89,156,89,64,89,58,89,68,89,54,89,76,69,58,89,56,89,28,434,462,Flurry Dash,1,Clone Faker,25,Clone Defence,38,Fire Rooster,45,0x02
Jack Wallside,Jack,DF,Male,Large,Earth,39,63,8,11,8,16,9,11,11,206,89,165,59,62,69,68,59,62,59,66,69,49,89,54,69,54,89,11,415,426,The Wall,1,Super Armadillo,16,Mole Fake,32,Stone Wall,Event,0x03
Jim Wraith,Jim,DF,Male,Medium,Wood,43,33,7,14,11,11,12,13,8,195,59,140,59,58,59,53,59,75,59,59,59,53,59,62,59,60,59,27,420,447,Coil Turn,1,About Face,22,Shadow Stitch,34,Bamboo Pattern,60,0x04
Tod Ironside,Tod,DF,Male,Small,Fire,39,33,8,8,9,7,7,14,9,184,89,161,89,54,89,55,89,53,89,56,89,59,89,56,89,65,89,17,398,415,Monkey Turn,7,Comet Shot,15,Utter Gutsiness Bat,28,Armadillo Circus,40,0x05
Steve Grim,Steve,MF,Male,Medium,Air,43,51,13,9,11,11,10,7,11,154,59,144,59,62,59,64,59,71,59,64,59,71,59,71,59,71,59,24,474,498,Zigzag Spark,1,Rolling Kick,12,Shooting Star,30,Shot Force,55,0x06
Tim Saunders,Timmy,MF,Male,Small,Wood,46,55,11,8,14,9,12,10,11,156,69,149,69,63,69,76,69,61,69,60,69,55,69,48,69,58,69,16,421,437,Whirlwind Twister,1,Gyro Head,18,Kung Fu Fighting,35,Clone Defence,48,0x07
Sam Kincaid,Sam,MF,Male,Medium,Fire,50,41,9,11,6,11,10,9,14,167,59,136,59,71,59,57,59,56,59,56,59,52,59,56,59,76,59,15,424,439,Grenade Shot,1,Bewildered,14,Fake Ball,23,Inazuma Drop,37,0x08
Maxwell Carson,Max,FW,Male,Medium,Air,51,63,11,12,18,12,16,9,9,156,89,160,69,60,89,56,69,78,69,64,69,60,59,56,89,62,59,27,436,463,Quick Draw,1,Speed Force,55,Illusion Ball,20,Dash Storm,38,0x09
Axel Blaze,Axel,FW,Male,Medium,Fire,49,63,18,16,13,14,14,12,12,200,59,176,69,79,69,66,69,76,59,64,59,72,59,68,59,60,59,20,485,505,Fire Tornado,1,Heat Tackle,17,Inazuma Drop,25,Fireball Storm,Event,0x0A
Kevin Dragonfly,Kevin,FW,Male,Medium,Wood,51,60,17,15,10,12,9,14,8,195,59,144,89,71,69,60,59,59,89,61,89,60,69,64,59,70,69,16,445,461,Dragon Crash,1,Dragon Tornado,24,Wyvern Crash,Event,Wyvern Blizzard,52,0x0B
William Glass,Willy,FW,Male,Medium,Wood,31,21,7,8,7,11,7,5,7,147,99,168,99,56,99,51,99,68,99,57,99,56,99,53,99,60,99,14,401,415,Jinx,1,Black Magic,30,Attack Scan,75,God Break,99,0x0C
Nelly Raimon,Nelly,FW,Female,Medium,Fire,33,21,8,5,5,4,6,4,7,140,89,197,69,79,89,51,89,45,89,52,89,44,89,49,89,62,89,27,382,409,Charm Up!,1,Phantom Shot,1,Bed Of Roses,31,The Earth,70,0x0D
Celia Hills,Celia,MF,Female,Medium,Air,19,29,5,6,8,7,6,6,7,138,89,149,89,48,89,54,89,69,89,45,89,69,69,51,89,70,89,26,406,432,Lucky!,1,Attack Scan,1,Spinning Cut,27,Death Zone 2,70,0x0E
Silvia Woods,Silvia,GK,Female,Medium,Earth,19,27,8,6,6,6,5,5,5,143,89,116,89,44,89,72,89,52,89,69,69,51,89,64,89,68,89,27,420,447,Never Give Up,1,Fireball Knuckle,1,God Hand(E),23,Fist of Justice,70,0x0F
Joseph King,King,GK,Male,Medium,Fire,55,96,15,11,13,16,13,14,14,200,59,153,59,72,59,75,69,69,59,72,59,55,59,74,59,60,69,32,477,509,Critical!,1,Power Shield,1,Full Power Shield,32,Beast Fang,50,0x15
Peter Drent,Drent,DF,Male,Large,Earth,64,89,14,17,14,18,12,14,10,165,69,144,89,71,69,54,59,67,89,64,69,44,59,59,69,62,59,29,421,450,Supreme Spin,1,Earthquake,20,Reflect Buster,42,Mega Quake,64,0x16
Ben Simmons,Simmons,DF,Male,Medium,Wood,68,76,11,12,14,16,12,14,10,191,59,169,69,68,69,63,69,72,59,60,69,69,59,70,59,69,89,23,471,494,Breakthrough,1,Cyclone,1,Quick Draw,28,Double Cyclone,55,0x17
